,label_2,sentiment,sentiment_2,Interest_rate,change_of_rate
2013-07-01,-2.2969099293817985e-08,-0.09234033909214881,-0.8852553781066299,0.5,0.0
2013-08-01,-1.6191346034738598e-08,-0.14118974181661245,-0.909534544846117,0.5,0.0
2013-09-01,-1.1382477101724578e-08,0.1215035941681222,-0.6426068168060743,0.5,0.0
2013-10-01,-7.986290753890366e-09,0.25768383232897085,-0.5503289784295655,0.5,0.0
2013-11-01,-5.6190340423719156e-09,0.39601288631191195,-0.4924151611200826,0.5,0.0
2013-12-01,-3.943913962819495e-09,0.29835806078483734,-0.6371465879762787,0.5,0.0
2014-01-01,-2.7755802650589324e-09,0.2563285720789893,-0.5497075206577788,0.5,0.0
2014-02-01,-1.9489596319332126e-09,0.2940845969146041,-0.565328069551608,0.5,0.0
2014-03-01,-1.3655890390742409e-09,0.2723280408794841,-0.5921824058606281,0.5,0.0
2014-04-01,-9.67448351331661e-10,0.21321065512580478,-0.5154463548592907,0.5,0.0
2014-05-01,-6.820302452035001e-10,0.27099854720032074,-0.4171518539793988,0.5,0.0
2014-06-01,-4.814683007527211e-10,0.36880177646645246,-0.20920161093567502,0.5,0.0
2014-07-01,-3.3873518907295195e-10,0.30003837201173056,-0.43576321763274783,0.5,0.0
2014-08-01,-2.387836410684155e-10,0.32754033471825866,-0.3700277545717798,0.5,0.0
2014-09-01,-1.6786576590334548e-10,0.16145237487110375,-0.4421760997600975,0.5,0.0
2014-10-01,-1.177804220282357e-10,0.24957377923345075,-0.5954288733831336,0.5,0.0
2014-11-01,-8.286888421591992e-11,0.3632161060084164,-0.3308107362900991,0.5,0.0
2014-12-01,-5.816457529647433e-11,0.24198341391733394,-0.4629596228813346,0.5,0.0
2015-01-01,-4.0934154823773334e-11,0.2220897834363277,-0.5201028028384626,0.5,0.0
2015-02-01,-2.8743226876078467e-11,0.14082588728504133,-0.4709043907707103,0.5,0.0
2015-03-01,-2.0139707292571757e-11,0.06212643662665569,-0.6251005817765378,0.5,0.0
2015-04-01,-1.426793855618425e-11,-0.0075006476126954396,-0.6188693139287745,0.5,0.0
2015-05-01,-1.0058594430768417e-11,-0.029701762632173872,-0.6498215085575438,0.5,0.0
2015-06-01,-7.100705782775884e-12,-0.11798684555438593,-0.7527970278249675,0.5,0.0
2015-07-01,-4.995675781911366e-12,-0.11128218731626843,-0.8236207509709792,0.5,0.0
2015-08-01,-3.5215882630063908e-12,-0.060800466642366324,-0.8042921860544482,0.5,0.0
2015-09-01,-2.4756896381300533e-12,-0.10848371549769607,-0.86241667937851,0.5,0.0
2015-10-01,-1.737029554176847e-12,-0.10909156827802167,-0.8978170934681154,0.5,0.0
