,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
drift,4.0,6.0,4.0,0.42857142857142855,0.2857142857142857,0.6,0.4
drive,2.0,5.0,4.0,0.45454545454545453,0.18181818181818182,0.7142857142857143,0.2857142857142857
driven,7.0,5.0,15.0,0.18518518518518517,0.25925925925925924,0.4166666666666667,0.5833333333333334
driver,2.0,4.0,8.0,0.2857142857142857,0.14285714285714285,0.6666666666666666,0.3333333333333333
drop,8.0,4.0,4.0,0.25,0.5,0.3333333333333333,0.6666666666666666
due,10.0,4.0,6.0,0.2,0.5,0.2857142857142857,0.7142857142857143
ea,16.0,16.0,22.0,0.2962962962962963,0.2962962962962963,0.5,0.5
earli,37.0,25.0,29.0,0.27472527472527475,0.4065934065934066,0.4032258064516129,0.5967741935483871
earlier,26.0,29.0,38.0,0.3118279569892473,0.27956989247311825,0.5272727272727272,0.4727272727272727
earn,28.0,21.0,20.0,0.30434782608695654,0.4057971014492754,0.42857142857142855,0.5714285714285714
ecb,26.0,17.0,60.0,0.1650485436893204,0.2524271844660194,0.3953488372093023,0.6046511627906976
econom,43.0,48.0,38.0,0.37209302325581395,0.3333333333333333,0.5274725274725275,0.4725274725274725
economi,66.0,46.0,89.0,0.22885572139303484,0.3283582089552239,0.4107142857142857,0.5892857142857143
economist,31.0,29.0,33.0,0.3118279569892473,0.3333333333333333,0.48333333333333334,0.5166666666666667
edg,5.0,9.0,8.0,0.4090909090909091,0.22727272727272727,0.6428571428571429,0.35714285714285715
effect,95.0,92.0,87.0,0.3357664233576642,0.3467153284671533,0.4919786096256685,0.5080213903743316
either,11.0,8.0,4.0,0.34782608695652173,0.4782608695652174,0.42105263157894735,0.5789473684210527
elect,5.0,9.0,26.0,0.225,0.125,0.6428571428571429,0.35714285714285715
elev,19.0,9.0,13.0,0.21951219512195122,0.4634146341463415,0.32142857142857145,0.6785714285714286
elsewher,5.0,6.0,8.0,0.3157894736842105,0.2631578947368421,0.5454545454545454,0.45454545454545453
emerg,28.0,17.0,31.0,0.2236842105263158,0.3684210526315789,0.37777777777777777,0.6222222222222222
employ,16.0,4.0,11.0,0.12903225806451613,0.5161290322580645,0.2,0.8
emu,2.0,1.0,8.0,0.09090909090909091,0.18181818181818182,0.3333333333333333,0.6666666666666666
encourag,8.0,1.0,2.0,0.09090909090909091,0.7272727272727273,0.1111111111111111,0.8888888888888888
end,47.0,37.0,71.0,0.23870967741935484,0.3032258064516129,0.44047619047619047,0.5595238095238095
energi,7.0,4.0,4.0,0.26666666666666666,0.4666666666666667,0.36363636363636365,0.6363636363636364
england,7.0,6.0,2.0,0.4,0.4666666666666667,0.46153846153846156,0.5384615384615384
environ,4.0,2.0,6.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
