,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
news,32.0,42.0,31.0,0.4,0.3047619047619048,0.5675675675675675,0.43243243243243246
next,41.0,33.0,33.0,0.308411214953271,0.38317757009345793,0.44594594594594594,0.5540540540540541
nomin,41.0,54.0,29.0,0.43548387096774194,0.33064516129032256,0.5684210526315789,0.43157894736842106
non,41.0,50.0,47.0,0.36231884057971014,0.2971014492753623,0.5494505494505495,0.45054945054945056
nonetheless,7.0,8.0,4.0,0.42105263157894735,0.3684210526315789,0.5333333333333333,0.4666666666666667
normal,14.0,13.0,15.0,0.30952380952380953,0.3333333333333333,0.48148148148148145,0.5185185185185185
notabl,21.0,8.0,17.0,0.17391304347826086,0.45652173913043476,0.27586206896551724,0.7241379310344828
note,46.0,42.0,20.0,0.3888888888888889,0.42592592592592593,0.4772727272727273,0.5227272727272727
notwithstand,5.0,4.0,4.0,0.3076923076923077,0.38461538461538464,0.4444444444444444,0.5555555555555556
novemb,34.0,33.0,31.0,0.336734693877551,0.3469387755102041,0.4925373134328358,0.5074626865671642
nowcast,3.0,4.0,6.0,0.3076923076923077,0.23076923076923078,0.5714285714285714,0.42857142857142855
ntc,11.0,1.0,2.0,0.07142857142857142,0.7857142857142857,0.08333333333333333,0.9166666666666666
number,55.0,49.0,44.0,0.3310810810810811,0.3716216216216216,0.47115384615384615,0.5288461538461539
observ,3.0,9.0,15.0,0.3333333333333333,0.1111111111111111,0.75,0.25
occur,16.0,12.0,11.0,0.3076923076923077,0.41025641025641024,0.42857142857142855,0.5714285714285714
octob,29.0,29.0,24.0,0.35365853658536583,0.35365853658536583,0.5,0.5
odd,6.0,6.0,2.0,0.42857142857142855,0.42857142857142855,0.5,0.5
offer,7.0,8.0,2.0,0.47058823529411764,0.4117647058823529,0.5333333333333333,0.4666666666666667
offic,10.0,16.0,8.0,0.47058823529411764,0.29411764705882354,0.6153846153846154,0.38461538461538464
offici,40.0,46.0,44.0,0.35384615384615387,0.3076923076923077,0.5348837209302325,0.46511627906976744
offset,40.0,36.0,31.0,0.3364485981308411,0.37383177570093457,0.47368421052631576,0.5263157894736842
often,8.0,10.0,11.0,0.3448275862068966,0.27586206896551724,0.5555555555555556,0.4444444444444444
oil,21.0,13.0,24.0,0.22413793103448276,0.3620689655172414,0.38235294117647056,0.6176470588235294
olymp,4.0,0.0,8.0,0.0,0.3333333333333333,0.0,1.0
on,64.0,62.0,67.0,0.32124352331606215,0.3316062176165803,0.49206349206349204,0.5079365079365079
one,49.0,53.0,38.0,0.37857142857142856,0.35,0.5196078431372549,0.4803921568627451
ongo,2.0,8.0,2.0,0.6666666666666666,0.16666666666666666,0.8,0.2
oper,2.0,5.0,15.0,0.22727272727272727,0.09090909090909091,0.7142857142857143,0.2857142857142857
optim,15.0,12.0,15.0,0.2857142857142857,0.35714285714285715,0.4444444444444444,0.5555555555555556
optimist,2.0,5.0,6.0,0.38461538461538464,0.15384615384615385,0.7142857142857143,0.2857142857142857
order,66.0,48.0,42.0,0.3076923076923077,0.4230769230769231,0.42105263157894735,0.5789473684210527
origin,3.0,4.0,4.0,0.36363636363636365,0.2727272727272727,0.5714285714285714,0.42857142857142855
other,7.0,0.0,6.0,0.0,0.5384615384615384,0.0,1.0
otherwis,8.0,5.0,8.0,0.23809523809523808,0.38095238095238093,0.38461538461538464,0.6153846153846154
outcom,6.0,5.0,0.0,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454
outlook,55.0,61.0,58.0,0.3505747126436782,0.3160919540229885,0.5258620689655172,0.47413793103448276
output,111.0,108.0,101.0,0.3375,0.346875,0.4931506849315068,0.5068493150684932
outsid,5.0,4.0,4.0,0.3076923076923077,0.38461538461538464,0.4444444444444444,0.5555555555555556
outturn,15.0,20.0,6.0,0.4878048780487805,0.36585365853658536,0.5714285714285714,0.42857142857142855
overal,53.0,68.0,51.0,0.3953488372093023,0.3081395348837209,0.5619834710743802,0.4380165289256198
oversea,16.0,9.0,17.0,0.21428571428571427,0.38095238095238093,0.36,0.64
overst,5.0,5.0,8.0,0.2777777777777778,0.2777777777777778,0.5,0.5
pace,36.0,48.0,42.0,0.38095238095238093,0.2857142857142857,0.5714285714285714,0.42857142857142855
paint,9.0,10.0,2.0,0.47619047619047616,0.42857142857142855,0.5263157894736842,0.47368421052631576
panel,5.0,1.0,20.0,0.038461538461538464,0.19230769230769232,0.16666666666666666,0.8333333333333334
part,59.0,49.0,49.0,0.31210191082802546,0.37579617834394907,0.4537037037037037,0.5462962962962963
partial,8.0,6.0,4.0,0.3333333333333333,0.4444444444444444,0.42857142857142855,0.5714285714285714
particip,8.0,8.0,6.0,0.36363636363636365,0.36363636363636365,0.5,0.5
particular,33.0,34.0,33.0,0.34,0.33,0.5074626865671642,0.4925373134328358
particularli,53.0,46.0,31.0,0.35384615384615387,0.4076923076923077,0.46464646464646464,0.5353535353535354
partli,26.0,21.0,29.0,0.27631578947368424,0.34210526315789475,0.44680851063829785,0.5531914893617021
partner,2.0,8.0,4.0,0.5714285714285714,0.14285714285714285,0.8,0.2
pas,11.0,6.0,13.0,0.2,0.36666666666666664,0.35294117647058826,0.6470588235294118
past,74.0,90.0,56.0,0.4090909090909091,0.33636363636363636,0.5487804878048781,0.45121951219512196
path,20.0,17.0,4.0,0.4146341463414634,0.4878048780487805,0.4594594594594595,0.5405405405405406
pattern,26.0,40.0,42.0,0.37037037037037035,0.24074074074074073,0.6060606060606061,0.3939393939393939
paus,9.0,2.0,4.0,0.13333333333333333,0.6,0.18181818181818182,0.8181818181818182
pay,5.0,5.0,2.0,0.4166666666666667,0.4166666666666667,0.5,0.5
payment,12.0,1.0,8.0,0.047619047619047616,0.5714285714285714,0.07692307692307693,0.9230769230769231
peak,22.0,16.0,24.0,0.25806451612903225,0.3548387096774194,0.42105263157894735,0.5789473684210527
pension,3.0,20.0,11.0,0.5882352941176471,0.08823529411764706,0.8695652173913043,0.13043478260869565
per,8.0,8.0,26.0,0.19047619047619047,0.19047619047619047,0.5,0.5
perceiv,3.0,8.0,4.0,0.5333333333333333,0.2,0.7272727272727273,0.2727272727272727
percentag,48.0,42.0,67.0,0.267515923566879,0.3057324840764331,0.4666666666666667,0.5333333333333333
percept,8.0,6.0,4.0,0.3333333333333333,0.4444444444444444,0.42857142857142855,0.5714285714285714
perform,9.0,8.0,8.0,0.32,0.36,0.47058823529411764,0.5294117647058824
perhap,35.0,29.0,26.0,0.32222222222222224,0.3888888888888889,0.453125,0.546875
period,52.0,44.0,47.0,0.3076923076923077,0.36363636363636365,0.4583333333333333,0.5416666666666666
persist,36.0,36.0,33.0,0.34285714285714286,0.34285714285714286,0.5,0.5
person,14.0,20.0,17.0,0.39215686274509803,0.27450980392156865,0.5882352941176471,0.4117647058823529
pick,47.0,66.0,53.0,0.39759036144578314,0.28313253012048195,0.584070796460177,0.415929203539823
pickup,21.0,36.0,38.0,0.37894736842105264,0.22105263157894736,0.631578947368421,0.3684210526315789
pictur,54.0,38.0,15.0,0.35514018691588783,0.5046728971962616,0.41304347826086957,0.5869565217391305
place,19.0,13.0,15.0,0.2765957446808511,0.40425531914893614,0.40625,0.59375
plan,38.0,29.0,44.0,0.26126126126126126,0.34234234234234234,0.43283582089552236,0.5671641791044776
plausibl,6.0,5.0,4.0,0.3333333333333333,0.4,0.45454545454545453,0.5454545454545454
pmi,12.0,8.0,20.0,0.2,0.3,0.4,0.6
point,96.0,92.0,98.0,0.32167832167832167,0.3356643356643357,0.48936170212765956,0.5106382978723404
polici,33.0,22.0,40.0,0.23157894736842105,0.3473684210526316,0.4,0.6
portfolio,4.0,5.0,4.0,0.38461538461538464,0.3076923076923077,0.5555555555555556,0.4444444444444444
pose,4.0,6.0,2.0,0.5,0.3333333333333333,0.6,0.4
posit,45.0,58.0,56.0,0.36477987421383645,0.2830188679245283,0.5631067961165048,0.4368932038834951
possibl,82.0,89.0,62.0,0.38197424892703863,0.351931330472103,0.52046783625731,0.47953216374269003
post,12.0,22.0,11.0,0.4888888888888889,0.26666666666666666,0.6470588235294118,0.35294117647058826
postpon,5.0,6.0,0.0,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.45454545454545453
