,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
utilis,10.0,7.0,7.0,0.2916666666666667,0.4166666666666667,0.4117647058823529,0.5882352941176471
vacanc,24.0,9.0,20.0,0.16981132075471697,0.4528301886792453,0.2727272727272727,0.7272727272727273
valu,11.0,6.0,4.0,0.2857142857142857,0.5238095238095238,0.35294117647058826,0.6470588235294118
variabl,8.0,1.0,2.0,0.09090909090909091,0.7272727272727273,0.1111111111111111,0.8888888888888888
variou,13.0,6.0,3.0,0.2727272727272727,0.5909090909090909,0.3157894736842105,0.6842105263157895
vat,10.0,17.0,2.0,0.5862068965517241,0.3448275862068966,0.6296296296296297,0.37037037037037035
via,5.0,6.0,11.0,0.2727272727272727,0.22727272727272727,0.5454545454545454,0.45454545454545453
view,21.0,14.0,9.0,0.3181818181818182,0.4772727272727273,0.4,0.6
volatil,38.0,22.0,19.0,0.27848101265822783,0.4810126582278481,0.36666666666666664,0.6333333333333333
wage,78.0,63.0,37.0,0.3539325842696629,0.43820224719101125,0.44680851063829785,0.5531914893617021
want,5.0,3.0,3.0,0.2727272727272727,0.45454545454545453,0.375,0.625
way,11.0,10.0,5.0,0.38461538461538464,0.4230769230769231,0.47619047619047616,0.5238095238095238
weak,52.0,37.0,33.0,0.30327868852459017,0.4262295081967213,0.4157303370786517,0.5842696629213483
weaken,34.0,17.0,5.0,0.30357142857142855,0.6071428571428571,0.3333333333333333,0.6666666666666666
weaker,39.0,27.0,19.0,0.3176470588235294,0.4588235294117647,0.4090909090909091,0.5909090909090909
weather,10.0,5.0,3.0,0.2777777777777778,0.5555555555555556,0.3333333333333333,0.6666666666666666
wedg,6.0,2.0,4.0,0.16666666666666666,0.5,0.25,0.75
week,8.0,2.0,4.0,0.14285714285714285,0.5714285714285714,0.2,0.8
weekli,38.0,25.0,13.0,0.32894736842105265,0.5,0.3968253968253968,0.6031746031746031
weight,30.0,14.0,9.0,0.2641509433962264,0.5660377358490566,0.3181818181818182,0.6818181818181818
well,40.0,20.0,16.0,0.2631578947368421,0.5263157894736842,0.3333333333333333,0.6666666666666666
wherea,8.0,3.0,3.0,0.21428571428571427,0.5714285714285714,0.2727272727272727,0.7272727272727273
whether,28.0,17.0,11.0,0.30357142857142855,0.5,0.37777777777777777,0.6222222222222222
whole,55.0,36.0,25.0,0.3103448275862069,0.47413793103448276,0.3956043956043956,0.6043956043956044
wholesal,19.0,8.0,2.0,0.27586206896551724,0.6551724137931034,0.2962962962962963,0.7037037037037037
wide,15.0,8.0,2.0,0.32,0.6,0.34782608695652173,0.6521739130434783
widespread,11.0,4.0,4.0,0.21052631578947367,0.5789473684210527,0.26666666666666666,0.7333333333333333
within,16.0,19.0,20.0,0.34545454545454546,0.2909090909090909,0.5428571428571428,0.45714285714285713
without,12.0,7.0,8.0,0.25925925925925924,0.4444444444444444,0.3684210526315789,0.631578947368421
work,59.0,45.0,27.0,0.3435114503816794,0.45038167938931295,0.4326923076923077,0.5673076923076923
worker,32.0,27.0,14.0,0.3698630136986301,0.4383561643835616,0.4576271186440678,0.5423728813559322
workforc,22.0,16.0,7.0,0.35555555555555557,0.4888888888888889,0.42105263157894735,0.5789473684210527
world,12.0,8.0,2.0,0.36363636363636365,0.5454545454545454,0.4,0.6
would,109.0,77.0,45.0,0.3333333333333333,0.47186147186147187,0.41397849462365593,0.5860215053763441
year,108.0,81.0,48.0,0.34177215189873417,0.45569620253164556,0.42857142857142855,0.5714285714285714
yet,27.0,27.0,9.0,0.42857142857142855,0.42857142857142855,0.5,0.5
yougov,28.0,15.0,17.0,0.25,0.4666666666666667,0.3488372093023256,0.6511627906976745
zero,15.0,4.0,6.0,0.16,0.6,0.21052631578947367,0.7894736842105263
