,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
stimulu,44.0,69.0,60.0,0.3988439306358382,0.2543352601156069,0.6106194690265486,0.3893805309734513
stock,98.0,96.0,110.0,0.3157894736842105,0.3223684210526316,0.4948453608247423,0.5051546391752577
stockbuild,43.0,32.0,33.0,0.2962962962962963,0.39814814814814814,0.4266666666666667,0.5733333333333334
stood,22.0,25.0,35.0,0.3048780487804878,0.2682926829268293,0.5319148936170213,0.46808510638297873
stop,10.0,5.0,6.0,0.23809523809523808,0.47619047619047616,0.3333333333333333,0.6666666666666666
store,6.0,4.0,4.0,0.2857142857142857,0.42857142857142855,0.4,0.6
stori,13.0,2.0,6.0,0.09523809523809523,0.6190476190476191,0.13333333333333333,0.8666666666666667
stoxx,6.0,6.0,24.0,0.16666666666666666,0.16666666666666666,0.5,0.5
straightforward,5.0,6.0,4.0,0.4,0.3333333333333333,0.5454545454545454,0.45454545454545453
strain,14.0,8.0,11.0,0.24242424242424243,0.42424242424242425,0.36363636363636365,0.6363636363636364
strategi,15.0,13.0,4.0,0.40625,0.46875,0.4642857142857143,0.5357142857142857
stream,4.0,5.0,6.0,0.3333333333333333,0.26666666666666666,0.5555555555555556,0.4444444444444444
strength,91.0,100.0,83.0,0.36496350364963503,0.33211678832116787,0.5235602094240838,0.47643979057591623
strengthen,68.0,80.0,71.0,0.365296803652968,0.3105022831050228,0.5405405405405406,0.4594594594594595
stress,25.0,12.0,26.0,0.19047619047619047,0.3968253968253968,0.32432432432432434,0.6756756756756757
strike,22.0,20.0,26.0,0.29411764705882354,0.3235294117647059,0.47619047619047616,0.5238095238095238
strip,4.0,6.0,2.0,0.5,0.3333333333333333,0.6,0.4
strong,104.0,109.0,98.0,0.3504823151125402,0.33440514469453375,0.5117370892018779,0.48826291079812206
stronger,104.0,108.0,107.0,0.3385579937304075,0.32601880877742945,0.5094339622641509,0.49056603773584906
strongest,13.0,9.0,13.0,0.2571428571428571,0.37142857142857144,0.4090909090909091,0.5909090909090909
strongli,65.0,69.0,56.0,0.3631578947368421,0.34210526315789475,0.5149253731343284,0.48507462686567165
structur,45.0,45.0,42.0,0.3409090909090909,0.3409090909090909,0.5,0.5
sub,18.0,9.0,13.0,0.225,0.45,0.3333333333333333,0.6666666666666666
