,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
subject,4.0,8.0,9.0,0.38095238095238093,0.19047619047619047,0.6666666666666666,0.3333333333333333
subsequ,23.0,12.0,11.0,0.2608695652173913,0.5,0.34285714285714286,0.6571428571428571
substanti,46.0,49.0,21.0,0.4224137931034483,0.39655172413793105,0.5157894736842106,0.4842105263157895
success,8.0,5.0,6.0,0.2631578947368421,0.42105263157894735,0.38461538461538464,0.6153846153846154
suffici,49.0,40.0,18.0,0.37383177570093457,0.45794392523364486,0.449438202247191,0.550561797752809
suggest,92.0,67.0,45.0,0.3284313725490196,0.45098039215686275,0.42138364779874216,0.5786163522012578
summer,18.0,4.0,6.0,0.14285714285714285,0.6428571428571429,0.18181818181818182,0.8181818181818182
suppli,71.0,44.0,37.0,0.2894736842105263,0.46710526315789475,0.3826086956521739,0.6173913043478261
support,61.0,46.0,35.0,0.323943661971831,0.4295774647887324,0.42990654205607476,0.5700934579439252
surpris,27.0,13.0,15.0,0.23636363636363636,0.4909090909090909,0.325,0.675
surprisingli,9.0,5.0,5.0,0.2631578947368421,0.47368421052631576,0.35714285714285715,0.6428571428571429
surround,13.0,8.0,2.0,0.34782608695652173,0.5652173913043478,0.38095238095238093,0.6190476190476191
survey,83.0,68.0,44.0,0.3487179487179487,0.4256410256410256,0.4503311258278146,0.5496688741721855
sushil,22.0,1.0,2.0,0.04,0.88,0.043478260869565216,0.9565217391304348
sustain,52.0,45.0,39.0,0.33088235294117646,0.38235294117647056,0.4639175257731959,0.5360824742268041
system,19.0,6.0,12.0,0.16216216216216217,0.5135135135135135,0.24,0.76
take,57.0,33.0,27.0,0.28205128205128205,0.48717948717948717,0.36666666666666664,0.6333333333333333
taken,36.0,23.0,21.0,0.2875,0.45,0.3898305084745763,0.6101694915254238
target,116.0,82.0,52.0,0.328,0.464,0.41414141414141414,0.5858585858585859
tax,6.0,11.0,4.0,0.5238095238095238,0.2857142857142857,0.6470588235294118,0.35294117647058826
temporari,41.0,26.0,27.0,0.2765957446808511,0.43617021276595747,0.3880597014925373,0.6119402985074627
temporarili,11.0,8.0,6.0,0.32,0.44,0.42105263157894735,0.5789473684210527
tend,30.0,14.0,11.0,0.2545454545454545,0.5454545454545454,0.3181818181818182,0.6818181818181818
tension,14.0,2.0,10.0,0.07692307692307693,0.5384615384615384,0.125,0.875
tent,9.0,10.0,9.0,0.35714285714285715,0.32142857142857145,0.5263157894736842,0.47368421052631576
term,115.0,85.0,52.0,0.3373015873015873,0.45634920634920634,0.425,0.575
thereaft,18.0,5.0,10.0,0.15151515151515152,0.5454545454545454,0.21739130434782608,0.782608695652174
therebi,5.0,2.0,6.0,0.15384615384615385,0.38461538461538464,0.2857142857142857,0.7142857142857143
therefor,51.0,38.0,25.0,0.3333333333333333,0.4473684210526316,0.42696629213483145,0.5730337078651685
thing,10.0,4.0,3.0,0.23529411764705882,0.5882352941176471,0.2857142857142857,0.7142857142857143
think,8.0,1.0,4.0,0.07692307692307693,0.6153846153846154,0.1111111111111111,0.8888888888888888
third,48.0,45.0,20.0,0.39823008849557523,0.4247787610619469,0.4838709677419355,0.5161290322580645
though,42.0,28.0,13.0,0.3373493975903614,0.5060240963855421,0.4,0.6
thought,45.0,37.0,30.0,0.33035714285714285,0.4017857142857143,0.45121951219512196,0.5487804878048781
threat,11.0,4.0,5.0,0.2,0.55,0.26666666666666666,0.7333333333333333
three,36.0,35.0,40.0,0.3153153153153153,0.32432432432432434,0.49295774647887325,0.5070422535211268
threshold,0.0,4.0,7.0,0.36363636363636365,0.0,1.0,0.0
throughout,8.0,15.0,7.0,0.5,0.26666666666666666,0.6521739130434783,0.34782608695652173
thu,14.0,9.0,7.0,0.3,0.4666666666666667,0.391304347826087,0.6086956521739131
tight,33.0,10.0,7.0,0.2,0.66,0.23255813953488372,0.7674418604651163
tighten,67.0,36.0,41.0,0.25,0.4652777777777778,0.34951456310679613,0.6504854368932039
tighter,17.0,7.0,4.0,0.25,0.6071428571428571,0.2916666666666667,0.7083333333333334
