,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
simpli,5.0,8.0,5.0,0.0,0.0,3.0,0.4444444444444444,0.2777777777777778
simul,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
simultan,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
sinc,122.0,119.0,135.0,0.0,0.0,-3.0,0.31648936170212766,0.324468085106383
singapor,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
singl,4.0,5.0,4.0,0.0,0.0,1.0,0.38461538461538464,0.3076923076923077
situat,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
six,13.0,8.0,16.0,0.0,0.0,-5.0,0.21621621621621623,0.35135135135135137
sixth,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
sizabl,1.0,2.0,1.0,0.0,0.0,1.0,0.5,0.25
size,8.0,10.0,7.0,0.0,0.0,2.0,0.4,0.32
sizeabl,1.0,2.0,0.0,4.168333744956356e-06,1.2450331180802577e-05,1.0,0.6666666666666666,0.3333333333333333
skew,1.0,0.0,5.0,4.168333744956356e-06,0.0,-1.0,0.0,0.16666666666666666
skill,31.0,23.0,28.0,0.0,0.0,-8.0,0.2804878048780488,0.3780487804878049
slack,21.0,31.0,51.0,0.0,0.0,10.0,0.30097087378640774,0.20388349514563106
slacken,3.0,1.0,0.0,1.6673334979825424e-05,6.225165590401289e-06,-2.0,0.25,0.75
slight,7.0,13.0,7.0,0.0,0.0,6.0,0.48148148148148145,0.25925925925925924
slightli,86.0,55.0,89.0,0.0,0.0,-31.0,0.2391304347826087,0.3739130434782609
slip,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
slope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
slow,35.0,29.0,19.0,0.0,0.0,-6.0,0.3493975903614458,0.42168674698795183
slowdown,17.0,20.0,3.0,0.0,0.0,3.0,0.5,0.425
slower,13.0,12.0,7.0,0.0,0.0,-1.0,0.375,0.40625
slowest,2.0,0.0,1.0,1.2505001234869067e-05,0.0,-2.0,0.0,0.6666666666666666
slowli,9.0,6.0,4.0,0.0,0.0,-3.0,0.3157894736842105,0.47368421052631576
sluggish,1.0,0.0,5.0,4.168333744956356e-06,0.0,-1.0,0.0,0.16666666666666666
slump,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
small,25.0,26.0,15.0,0.0,0.0,1.0,0.3939393939393939,0.3787878787878788
smaller,9.0,14.0,19.0,0.0,0.0,5.0,0.3333333333333333,0.21428571428571427
smallest,1.0,2.0,1.0,0.0,0.0,1.0,0.5,0.25
sme,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
smooth,3.0,3.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
smoother,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
smoothli,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
social,0.0,2.0,5.0,0.0,1.2450331180802577e-05,2.0,0.2857142857142857,0.0
soft,2.0,3.0,0.0,1.2505001234869067e-05,1.8675496771203864e-05,1.0,0.6,0.4
soften,9.0,6.0,15.0,0.0,0.0,-3.0,0.2,0.3
softer,1.0,2.0,0.0,8.336667489912712e-06,1.2450331180802577e-05,1.0,0.6666666666666666,0.3333333333333333
sole,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
solid,2.0,0.0,3.0,1.2505001234869067e-05,0.0,-2.0,0.0,0.4
someth,1.0,0.0,1.0,8.336667489912712e-06,0.0,-1.0,0.0,0.5
sometim,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
somewhat,35.0,36.0,30.0,0.0,0.0,1.0,0.3564356435643564,0.3465346534653465
somewher,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
soon,6.0,6.0,4.0,0.0,0.0,0.0,0.375,0.375
sooner,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
sophist,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
sought,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
sourc,9.0,6.0,3.0,0.0,0.0,-3.0,0.3333333333333333,0.5
south,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
spain,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
span,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
spare,15.0,39.0,28.0,0.0,0.0,24.0,0.47560975609756095,0.18292682926829268
special,6.0,10.0,4.0,0.0,0.0,4.0,0.5,0.3
specialist,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
specif,3.0,3.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
specifi,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
specul,1.0,0.0,1.0,4.168333744956356e-06,0.0,-1.0,0.0,0.5
speed,5.0,6.0,7.0,0.0,0.0,1.0,0.3333333333333333,0.2777777777777778
spell,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
spend,3.0,6.0,4.0,0.0,0.0,3.0,0.46153846153846156,0.23076923076923078
spent,1.0,0.0,1.0,4.168333744956356e-06,0.0,-1.0,0.0,0.5
spike,1.0,3.0,0.0,4.168333744956356e-06,1.8675496771203864e-05,2.0,0.75,0.25
spill,1.0,0.0,0.0,2.258829469616108e-05,0.0,-1.0,0.0,1.0
spillov,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
spite,0.0,1.0,3.0,0.0,6.225165590401289e-06,1.0,0.25,0.0
split,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
spoke,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
spot,3.0,9.0,1.0,0.0,0.0,6.0,0.6923076923076923,0.23076923076923078
spread,3.0,4.0,7.0,0.0,0.0,1.0,0.2857142857142857,0.21428571428571427
spring,9.0,3.0,15.0,0.0,0.0,-6.0,0.1111111111111111,0.3333333333333333
spur,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
spuriou,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
squar,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
squeez,9.0,9.0,1.0,0.0,0.0,0.0,0.47368421052631576,0.47368421052631576
stabil,3.0,2.0,3.0,0.0,0.0,-1.0,0.25,0.375
stabilis,5.0,7.0,4.0,0.0,0.0,2.0,0.4375,0.3125
stabl,34.0,33.0,27.0,0.0,0.0,-1.0,0.35106382978723405,0.3617021276595745
staf,1.0,0.0,0.0,2.258829469616108e-05,0.0,-1.0,0.0,1.0
staff,60.0,34.0,94.0,0.0,0.0,-26.0,0.18085106382978725,0.3191489361702128
stage,3.0,3.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
stagnant,1.0,0.0,3.0,4.168333744956356e-06,0.0,-1.0,0.0,0.25
stagnat,1.0,0.0,0.0,2.258829469616108e-05,0.0,-1.0,0.0,1.0
stall,1.0,0.0,0.0,2.258829469616108e-05,0.0,-1.0,0.0,1.0
stanc,0.0,2.0,0.0,0.0,3.3734312915449675e-05,2.0,1.0,0.0
