,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
head,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
headlin,15.0,6.0,12.0,0.0,0.0,-9.0,0.18181818181818182,0.45454545454545453
headwind,3.0,4.0,5.0,0.0,0.0,1.0,0.3333333333333333,0.25
health,1.0,0.0,0.0,1.70242365917242e-05,0.0,-1.0,0.0,1.0
healthi,3.0,3.0,7.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078
heavi,3.0,1.0,3.0,0.0,0.0,-2.0,0.14285714285714285,0.42857142857142855
heavili,4.0,2.0,0.0,1.8849417582496385e-05,9.344189920704762e-06,-2.0,0.3333333333333333,0.6666666666666666
height,0.0,1.0,2.0,0.0,4.672094960352381e-06,1.0,0.3333333333333333,0.0
heighten,8.0,6.0,3.0,0.0,0.0,-2.0,0.35294117647058826,0.47058823529411764
held,8.0,10.0,7.0,0.0,0.0,2.0,0.4,0.32
help,15.0,18.0,12.0,0.0,0.0,3.0,0.4,0.3333333333333333
henc,8.0,11.0,3.0,0.0,0.0,3.0,0.5,0.36363636363636365
herald,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
hesit,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
heterogen,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
high,56.0,45.0,50.0,0.0,0.0,-11.0,0.2980132450331126,0.3708609271523179
higher,107.0,82.0,81.0,0.0,0.0,-25.0,0.3037037037037037,0.3962962962962963
highest,32.0,47.0,18.0,0.0,0.0,15.0,0.4845360824742268,0.32989690721649484
highli,7.0,8.0,8.0,0.0,0.0,1.0,0.34782608695652173,0.30434782608695654
highlight,3.0,1.0,3.0,0.0,0.0,-2.0,0.14285714285714285,0.42857142857142855
hinder,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
hint,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
hire,1.0,0.0,2.0,6.2831391941654625e-06,0.0,-1.0,0.0,0.3333333333333333
histor,32.0,50.0,45.0,0.0,0.0,18.0,0.3937007874015748,0.25196850393700787
histori,0.0,2.0,2.0,0.0,9.344189920704762e-06,2.0,0.5,0.0
hit,1.0,0.0,3.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.25
hitherto,1.0,3.0,0.0,6.2831391941654625e-06,1.4016284881057144e-05,2.0,0.75,0.25
hm,1.0,3.0,2.0,0.0,0.0,2.0,0.5,0.16666666666666666
hmrc,2.0,1.0,3.0,0.0,0.0,-1.0,0.16666666666666666,0.3333333333333333
ho,1.0,2.0,0.0,3.1415695970827313e-06,9.344189920704762e-06,1.0,0.6666666666666666,0.3333333333333333
hoard,0.0,2.0,2.0,0.0,9.344189920704762e-06,2.0,0.5,0.0
hold,20.0,47.0,40.0,0.0,0.0,27.0,0.4392523364485981,0.18691588785046728
holder,1.0,0.0,0.0,1.70242365917242e-05,0.0,-1.0,0.0,1.0
holiday,12.0,10.0,17.0,0.0,0.0,-2.0,0.2564102564102564,0.3076923076923077
home,11.0,4.0,8.0,0.0,0.0,-7.0,0.17391304347826086,0.4782608695652174
homebuy,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
homeown,3.0,1.0,5.0,0.0,0.0,-2.0,0.1111111111111111,0.3333333333333333
hometrack,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
hong,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
hope,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
horizon,7.0,3.0,2.0,0.0,0.0,-4.0,0.25,0.5833333333333334
hostil,0.0,2.0,0.0,0.0,2.531818809868201e-05,2.0,1.0,0.0
hotel,5.0,1.0,5.0,0.0,0.0,-4.0,0.09090909090909091,0.45454545454545453
hour,1.0,1.0,0.0,6.2831391941654625e-06,4.672094960352381e-06,0.0,0.5,0.5
hous,300.0,289.0,305.0,0.0,0.0,-11.0,0.3232662192393736,0.33557046979865773
housebuild,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
household,241.0,245.0,224.0,0.0,0.0,4.0,0.34507042253521125,0.33943661971830985
hover,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
howev,110.0,122.0,86.0,0.0,0.0,12.0,0.3836477987421384,0.34591194968553457
hurrican,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
hurt,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
hype,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
hypothes,2.0,5.0,2.0,0.0,0.0,3.0,0.5555555555555556,0.2222222222222222
hypothesi,1.0,4.0,2.0,0.0,0.0,3.0,0.5714285714285714,0.14285714285714285
ibe,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
icc,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
iceland,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
ict,5.0,2.0,3.0,0.0,0.0,-3.0,0.2,0.5
identifi,5.0,6.0,3.0,0.0,0.0,1.0,0.42857142857142855,0.35714285714285715
idiosyncrat,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
ie,1.0,2.0,2.0,0.0,0.0,1.0,0.4,0.2
ignor,2.0,0.0,2.0,9.424708791248192e-06,0.0,-2.0,0.0,0.5
ih,3.0,2.0,7.0,0.0,0.0,-1.0,0.16666666666666666,0.25
