,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
bbl,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
bcc,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
bean,32.0,51.0,13.0,0.0,0.0,19.0,0.53125,0.3333333333333333
bear,8.0,14.0,6.0,0.0,0.0,6.0,0.5,0.2857142857142857
becam,4.0,13.0,19.0,0.0,0.0,9.0,0.3611111111111111,0.1111111111111111
becom,34.0,33.0,56.0,0.0,0.0,-1.0,0.2682926829268293,0.2764227642276423
began,6.0,3.0,8.0,0.0,0.0,-3.0,0.17647058823529413,0.35294117647058826
begin,34.0,33.0,39.0,0.0,0.0,-1.0,0.3113207547169811,0.32075471698113206
begun,12.0,11.0,8.0,0.0,0.0,-1.0,0.3548387096774194,0.3870967741935484
behalf,3.0,3.0,5.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727
behav,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
behaviour,15.0,11.0,16.0,0.0,0.0,-4.0,0.2619047619047619,0.35714285714285715
behind,3.0,0.0,4.0,9.869756413736582e-06,0.0,-3.0,0.0,0.42857142857142855
belief,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
believ,12.0,11.0,8.0,0.0,0.0,-1.0,0.3548387096774194,0.3870967741935484
bell,3.0,18.0,0.0,9.869756413736582e-06,6.3126459600531e-05,15.0,0.8571428571428571,0.14285714285714285
ben,13.0,9.0,24.0,0.0,0.0,-4.0,0.1956521739130435,0.2826086956521739
benchmark,1.0,1.0,0.0,2.4674391034341454e-06,3.5070255333628336e-06,0.0,0.5,0.5
beneath,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
benefici,3.0,0.0,1.0,9.869756413736582e-06,0.0,-3.0,0.0,0.75
benefit,7.0,18.0,9.0,0.0,0.0,11.0,0.5294117647058824,0.20588235294117646
benign,13.0,10.0,2.0,0.0,0.0,-3.0,0.4,0.52
besid,1.0,1.0,0.0,2.4674391034341454e-06,3.5070255333628336e-06,0.0,0.5,0.5
besley,14.0,4.0,2.0,0.0,0.0,-10.0,0.2,0.7
